City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,kieta,-6.2167,155.6333,27.05,79,100,1.05,PG,1675637926
140,santa fe,-31.6333,-60.7,31.08,40,0,3.13,AR,1675637926
141,achi,8.5682,-74.554,29.3,58,15,1.22,CO,1675637927
142,bambous virieux,-20.3428,57.7575,26.14,83,40,2.57,MU,1675637927
143,bridlington,54.0831,-0.1919,2.51,68,98,4.3,GB,1675637927
144,bluff,-46.6,168.3333,14.73,85,55,11.08,NZ,1675637927
145,khatanga,71.9667,102.5,-37.12,99,57,2.89,RU,1675637928
146,hilo,19.7297,-155.09,27.38,84,100,3.09,US,1675637928
147,adiake,5.2863,-3.304,26.57,87,48,3.33,CI,1675637928
148,salay,8.8592,124.7892,25.37,79,71,1.42,PH,1675637929
149,tuscaloosa,33.2098,-87.5692,17.88,47,0,3.09,US,1675637929
150,astana,51.1801,71.446,-14.03,85,75,2.0,KZ,1675637929
151,nizhniy kuranakh,58.8353,125.4869,-31.62,99,100,1.02,RU,1675637930
152,kipini,-2.5257,40.5262,25.16,83,30,4.86,KE,1675637930
153,itarema,-2.9248,-39.9167,25.92,81,71,5.08,BR,1675637930
154,sao filipe,14.8961,-24.4956,21.27,63,96,7.7,CV,1675637930
155,bengkulu,-3.8004,102.2655,23.18,87,95,3.45,ID,1675637931
156,san joaquin,37.9333,-121.3011,15.0,63,0,3.09,US,1675637931
157,xichang,27.8964,102.2634,4.9,66,0,0.84,CN,1675637931
158,vaini,-21.2,-175.2,27.09,83,75,1.03,TO,1675637932
159,talnakh,69.4865,88.3972,-16.23,97,98,1.34,RU,1675637674
160,karratha,-20.7377,116.8463,31.44,52,4,0.27,AU,1675637932
161,uyuni,-20.4597,-66.825,12.14,55,90,2.45,BO,1675637932
162,point pleasant,40.0832,-74.0682,7.23,72,100,1.34,US,1675637933
163,boa vista,2.8197,-60.6733,25.99,78,20,4.12,BR,1675637778
164,yellowknife,62.456,-114.3525,-20.25,77,100,5.14,CA,1675637933
165,faanui,-16.4833,-151.75,27.5,74,16,6.83,PF,1675637933
166,stykkisholmur,65.0757,-22.7297,3.15,85,100,19.5,IS,1675637934
167,tiksi,71.6872,128.8694,-32.35,100,100,1.63,RU,1675637934
168,constitucion,-35.3333,-72.4167,17.34,82,17,3.05,CL,1675637934
169,along,28.1667,94.7667,10.19,67,0,0.57,IN,1675637935
170,tessalit,20.1986,1.0114,19.9,11,82,3.79,ML,1675637935
171,pacific grove,36.6177,-121.9166,13.37,76,75,5.66,US,1675637935
172,westport,41.1415,-73.3579,6.42,66,0,0.45,US,1675637813
173,pekalongan,-6.8886,109.6753,25.01,81,99,1.16,ID,1675637936
174,lavrentiya,65.5833,-171.0,-18.97,91,100,4.1,RU,1675637936
175,scottsbluff,41.8666,-103.6672,6.62,56,20,4.63,US,1675637936
176,bourail,-21.5667,165.4833,30.74,66,100,2.4,NC,1675637937
177,kodiak,57.79,-152.4072,3.73,100,100,4.63,US,1675637659
178,touros,-5.1989,-35.4608,26.74,75,79,4.97,BR,1675637937
179,evensk,61.95,159.2333,-26.94,78,27,3.91,RU,1675637696
180,samarai,-10.6167,150.6667,27.25,83,100,5.38,PG,1675637938
181,luderitz,-26.6481,15.1594,16.92,90,59,5.32,NA,1675637938
182,vardo,70.3705,31.1107,-7.01,93,40,12.35,NO,1675637938
183,sitka,57.0531,-135.33,4.94,70,100,9.26,US,1675637938
184,yasnyy,51.0333,59.8742,-23.6,100,95,1.97,RU,1675637939
185,nome,64.5011,-165.4064,-7.96,73,100,3.6,US,1675637939
186,vila do maio,15.1333,-23.2167,21.44,61,84,9.81,CV,1675637939
187,caravelas,-17.7125,-39.2481,25.82,82,0,4.86,BR,1675637940
188,kemijarvi,66.7131,27.4306,-10.07,97,100,0.8,FI,1675637940
189,linguere,15.3953,-15.1193,23.39,14,27,4.17,SN,1675637660
190,emba,48.8264,58.1442,-19.32,98,20,1.57,KZ,1675637941
191,sept-iles,50.2001,-66.3821,-15.0,83,75,2.57,CA,1675637722
192,victoria,22.2855,114.1577,19.97,88,95,1.79,HK,1675637709
193,bethel,41.3712,-73.414,5.21,56,100,0.89,US,1675637803
194,clearwater,27.9659,-82.8001,23.99,78,40,3.6,US,1675637821
195,christchurch,-43.5333,172.6333,27.96,29,11,8.23,NZ,1675637941
196,neuquen,-38.9516,-68.0591,36.94,12,0,4.12,AR,1675637942
197,saint-leu,-21.15,55.2833,25.48,79,100,1.12,RE,1675637942
198,lengshuitan,26.4111,111.5956,9.38,93,99,1.14,CN,1675637942
199,nizhnevartovsk,60.9344,76.5531,-12.99,92,40,0.0,RU,1675637943
200,bilibino,68.0546,166.4372,-36.1,100,100,0.89,RU,1675637943
201,hambantota,6.1241,81.1185,24.52,81,99,5.11,LK,1675637943
202,yurla,59.3259,54.3223,-23.03,100,100,1.63,RU,1675637944
203,moose factory,51.2585,-80.6094,-18.0,71,40,1.54,CA,1675637944
204,clyde river,70.4692,-68.5914,-28.87,63,0,5.66,CA,1675637944
205,srednekolymsk,67.45,153.6833,-35.58,98,100,2.34,RU,1675637677
206,oranjemund,-28.55,16.4333,17.3,95,85,4.68,NA,1675637730
207,ayacucho,-13.1583,-74.2239,16.92,63,75,1.54,PE,1675637945
208,fortuna,40.5982,-124.1573,9.99,93,75,3.09,US,1675637945
209,kayerkan,69.3497,87.7602,-16.82,97,97,1.67,RU,1675637946
210,mount darwin,-16.7725,31.5838,19.33,95,56,1.55,ZW,1675637946
211,borogontsy,62.6683,131.1683,-35.84,100,99,0.82,RU,1675637946
212,port elizabeth,-33.918,25.5701,25.05,93,100,5.66,ZA,1675637947
213,esperance,-33.8667,121.9,21.34,59,71,7.21,AU,1675637947
214,pevek,69.7008,170.3133,-36.36,97,86,1.63,RU,1675637947
215,quatre cocos,-20.2078,57.7625,26.06,83,62,5.59,MU,1675637948
216,tocopilla,-22.092,-70.1979,23.12,78,4,3.62,CL,1675637948
217,greymouth,-42.4667,171.2,17.39,85,43,6.06,NZ,1675637948
